,Country,Category,Time (minutes)
180,Latvia,Other unpaid work & volunteering,39.3383775128274
181,Lithuania,Other unpaid work & volunteering,41.5086475782979
182,Luxembourg,Other unpaid work & volunteering,42.1755764657223
183,Mexico,Other unpaid work & volunteering,45.56969
184,Netherlands,Other unpaid work & volunteering,46.1431697070718
185,New Zealand,Other unpaid work & volunteering,59.0
186,Norway ,Other unpaid work & volunteering,76.614153
187,Poland,Other unpaid work & volunteering,38.5093514739224
188,Portugal,Other unpaid work & volunteering,35.2447552447552
189,Slovenia,Other unpaid work & volunteering,31.9556171983356
190,Spain,Other unpaid work & volunteering,53.7303815
191,Sweden,Other unpaid work & volunteering,33.3470614167565
192,Turkey,Other unpaid work & volunteering,59.82774
193,UK,Other unpaid work & volunteering,62.452037288484
194,USA,Other unpaid work & volunteering,65.190475
195,China,Other unpaid work & volunteering,32.9770992366412
196,India,Other unpaid work & volunteering,22.1140807999349
197,South Africa,Other unpaid work & volunteering,40.9096787
198,Australia,Sleep,512.355802640723
199,Austria,Sleep,498.291622667328
200,Belgium,Sleep,512.86023944507
201,Canada,Sleep,520.0
202,Denmark,Sleep,488.607523602805
203,Estonia,Sleep,530.015279324412
204,Finland,Sleep,508.2611
205,France,Sleep,512.974630066013
206,Germany,Sleep,498.3815
207,Greece,Sleep,500.032934816231
208,Hungary,Sleep,505.89669795064
209,Ireland,Sleep,491.2542
210,Italy ,Sleep,513.32088598243
211,Japan,Sleep,442.020937505766
212,Korea,Sleep,471.350748891408
213,Latvia,Sleep,512.28976055897
214,Lithuania,Sleep,503.068938418063
215,Luxembourg,Sleep,518.173357301369
216,Mexico,Sleep,498.6954
217,Netherlands,Sleep,502.776318748193
218,New Zealand,Sleep,526.0
219,Norway ,Sleep,492.1239
220,Poland,Sleep,508.940664897936
221,Portugal,Sleep,505.51048951049
222,Slovenia,Sleep,501.30374479889
223,Spain,Sleep,515.6619
224,Sweden,Sleep,482.700986769943
225,Turkey,Sleep,514.5817
226,UK,Sleep,508.110579040865
227,USA,Sleep,528.0195
228,China,Sleep,541.623872310895
229,India,Sleep,528.14137472817
230,South Africa,Sleep,553.1417
231,Australia,Eating and drinking,89.0618485059069
232,Austria,Eating and drinking,78.8364055623391
233,Belgium,Eating and drinking,98.5164083643487
234,Canada,Eating and drinking,64.8197125915859
235,Denmark,Eating and drinking,119.153409967079
236,Estonia,Eating and drinking,78.9962069589966
237,Finland,Eating and drinking,80.64583
238,France,Eating and drinking,132.757107781042
239,Germany,Eating and drinking,94.96315
240,Greece,Eating and drinking,127.534108557959
241,Hungary,Eating and drinking,101.129999756004
242,Ireland,Eating and drinking,75.38656
243,Italy ,Eating and drinking,126.974854655019
244,Japan,Eating and drinking,93.4542179456428
245,Korea,Eating and drinking,116.942541521039
246,Latvia,Eating and drinking,88.8673209536938
247,Lithuania,Eating and drinking,88.2054049757886
248,Luxembourg,Eating and drinking,112.2223273917
249,Mexico,Eating and drinking,77.00255
250,Netherlands,Eating and drinking,114.308190355176
251,New Zealand,Eating and drinking,80.0
252,Norway ,Eating and drinking,79.37977
253,Poland,Eating and drinking,90.7184313796455
254,Portugal,Eating and drinking,111.776223776224
255,Slovenia,Eating and drinking,85.880721220527
256,Spain,Eating and drinking,125.5582
257,Sweden,Eating and drinking,82.53561762069
258,Turkey,Eating and drinking,117.5817
259,UK,Eating and drinking,79.2521739459795
260,USA,Eating and drinking,62.74767
261,China,Eating and drinking,99.9306037473976
262,India,Eating and drinking,83.855191600656
263,South Africa,Eating and drinking,72.38531
264,Australia,Personal care,56.0389159138291
265,Austria,Personal care,54.9568898982881
266,Belgium,Personal care,52.6697030404366
267,Canada,Personal care,52.0372293181048
268,Denmark,Personal care,51.5983613935143
269,Estonia,Personal care,53.6616586103884
270,Finland,Personal care,51.58296
271,France,Personal care,106.514806242951
272,Germany,Personal care,54.6778833333333
273,Greece,Personal care,57.0365120940825
274,Hungary,Personal care,76.112454503358
275,Ireland,Personal care,42.27291
276,Italy ,Personal care,67.5124773650722
277,Japan,Personal care,84.5629608649925
278,Korea,Personal care,89.5541306631514
279,Latvia,Personal care,40.139126199078
280,Lithuania,Personal care,54.2643061197636
281,Luxembourg,Personal care,55.272546259104
282,Mexico,Personal care,57.88589
283,Netherlands,Personal care,64.5061109108366
284,New Zealand,Personal care,42.0
285,Norway ,Personal care,55.76926
286,Poland,Personal care,57.4597278760614
287,Portugal,Personal care,58.4055944055944
288,Slovenia,Personal care,40.9431345353675
289,Spain,Personal care,50.57229
290,Sweden,Personal care,57.2329210297313
291,Turkey,Personal care,49.63329
292,UK,Personal care,57.8416213559256
293,USA,Personal care,57.43851
294,China,Personal care,51.9639139486468
295,India,Personal care,75.4933484382237
296,South Africa,Personal care,69.55183
297,Australia,Sports,19.0132036136206
298,Austria,Sports,32.07853
299,Belgium,Sports,21.0165774533221
300,Canada,Sports,20.9987911821773
301,Denmark,Sports,22.1150724298138
302,Estonia,Sports,27.4746743499677
303,Finland,Sports,37.23085
304,France,Sports,11.9611007010534
305,Germany,Sports,26.43525
306,Greece,Sports,27.6876478923435
307,Hungary,Sports,12.9316792524107
308,Ireland,Sports,20.02075
309,Italy ,Sports,38.2140859775021
310,Japan,Sports,10.2225999594073
311,Korea,Sports,27.1885801306472
312,Latvia,Sports,24.9906312795239
313,Lithuania,Sports,15.9622240010951
314,Luxembourg,Sports,33.2370820507518
315,Mexico,Sports,13.57335
316,Netherlands,Sports,22.399997144601
317,New Zealand,Sports,17.0
318,Norway ,Sports,20.90907
319,Poland,Sports,23.2448354507718
320,Portugal,Sports,12.0839160839161
321,Slovenia,Sports,31.9556171983356
322,Spain,Sports,41.87796
323,Sweden,Sports,34.3439450802174
324,Turkey,Sports,9.465469
325,UK,Sports,19.3623153980204
326,USA,Sports,17.94654
327,China,Sports,22.9840388619015
328,India,Sports,5.49870466801727
329,South Africa,Sports,5.085051
330,Australia,Attending events,6.00416956219597
331,Austria,Attending events,9.431552
332,Belgium,Attending events,15.3658855083814
333,Canada,Attending events,5.60586453517405
334,Denmark,Attending events,7.43938497013118
335,Estonia,Attending events,7.86110981724489
336,Finland,Attending events,7.714292
337,France,Attending events,14.8422208699191
338,Germany,Attending events,13.5282516666667
339,Greece,Attending events,5.08617752229421
340,Hungary,Attending events,5.64070059617152
341,Ireland,Attending events,41.72778
342,Italy ,Attending events,5.82331255466776
343,Korea,Attending events,4.44931384349707
344,Latvia,Attending events,4.79630082605192
345,Lithuania,Attending events,1.34694427718498
346,Luxembourg,Attending events,12.4419954980393
347,Mexico,Attending events,7.206197
348,Netherlands,Attending events,6.64491899589893
349,New Zealand,Attending events,6.0
350,Norway ,Attending events,8.056627
351,Poland,Attending events,2.81459495993156
352,Portugal,Attending events,10.5734265734266
353,Slovenia,Attending events,4.99306518723995
354,Spain,Attending events,9.211836
355,Sweden,Attending events,8.8201251062108
356,Turkey,Attending events,2.58051
357,UK,Attending events,7.01340772876426
358,USA,Attending events,8.225513
359,China,Attending events,1.99861207494795
360,India,Attending events,4.60920558719274
361,South Africa,Attending events,5.107705
362,Australia,Seeing friends,40.0069492703266
363,Austria,Seeing friends,81.77063
364,Belgium,Seeing friends,50.4762420901579
365,Canada,Seeing friends,53.4766520162121
366,Denmark,Seeing friends,81.3715214585051
367,Estonia,Seeing friends,37.6248632000503
368,Finland,Seeing friends,54.64598
369,France,Seeing friends,55.2010732353962
370,Germany,Seeing friends,60.64695
371,Greece,Seeing friends,56.3277883369752
372,Hungary,Seeing friends,35.1334101755587
373,Ireland,Seeing friends,48.95445
374,Italy ,Seeing friends,65.3572067967137
375,Japan,Seeing friends,16.912066166024
376,Korea,Seeing friends,42.2159198272376
377,Latvia,Seeing friends,35.084831672703
378,Lithuania,Seeing friends,31.7824607910675
379,Luxembourg,Seeing friends,32.301265480461
380,Mexico,Seeing friends,44.15583
381,Netherlands,Seeing friends,72.5618568659854
382,New Zealand,Seeing friends,69.0
383,Norway ,Seeing friends,57.0152
384,Poland,Seeing friends,45.1370103305674
385,Portugal,Seeing friends,43.8041958041958
386,Slovenia,Seeing friends,61.9140083217753
387,Spain,Seeing friends,50.7935
388,Sweden,Seeing friends,52.7031880998249
389,Turkey,Seeing friends,68.12016
390,UK,Seeing friends,47.4283176513042
391,USA,Seeing friends,43.54368
392,China,Seeing friends,22.9840388619015
393,India,Seeing friends,73.2575313102545
394,South Africa,Seeing friends,82.14614
395,Australia,TV and Radio,140.097289784573
396,Austria,TV and Radio,108.826296674752
397,Belgium,TV and Radio,130.567855990874
398,Canada,TV and Radio,109.370618333306
399,Denmark,TV and Radio,122.97380825958
400,Estonia,TV and Radio,122.162536824955
401,Finland,TV and Radio,118.1499
402,France,TV and Radio,113.848906672811
403,Germany,TV and Radio,118.4651
404,Greece,TV and Radio,136.969447780922
405,Hungary,TV and Radio,133.897686789366
406,Ireland,TV and Radio,85.1351
407,Italy ,TV and Radio,103.692722108948
408,Japan,TV and Radio,103.224657268853
409,Korea,TV and Radio,102.001176090477
410,Latvia,TV and Radio,123.297316798906
411,Lithuania,TV and Radio,136.784337352373
412,Luxembourg,TV and Radio,116.073319917597
413,Mexico,TV and Radio,65.65993
414,Netherlands,TV and Radio,112.522823561325
415,New Zealand,TV and Radio,124.0
416,Norway ,TV and Radio,128.6927
417,Poland,TV and Radio,121.836563898405
418,Portugal,TV and Radio,113.79020979021
419,Slovenia,TV and Radio,119.833564493759
420,Spain,TV and Radio,129.4404
421,Sweden,TV and Radio,113.294143192852
422,Turkey,TV and Radio,124.0316
423,UK,TV and Radio,133.319185904372
424,USA,TV and Radio,148.3084
425,China,TV and Radio,126.911866759195
426,India,TV and Radio,61.4372416971058
427,South Africa,TV and Radio,131.7347
428,Australia,Other leisure activities,76.073662265462
429,Austria,Other leisure activities,59.1023
430,Belgium,Other leisure activities,121.923582692993
431,Canada,Other leisure activities,89.4815202253182
432,Denmark,Other leisure activities,94.9450259688467
433,Estonia,Other leisure activities,114.283895452449
434,Finland,Other leisure activities,113.2477
435,France,Other leisure activities,97.6893457256811
436,Germany,Other leisure activities,112.076283333333
437,Greece,Other leisure activities,115.320136761767
438,Hungary,Other leisure activities,93.7462245097509
439,Ireland,Other leisure activities,116.4735
440,Italy ,Other leisure activities,110.171289501065
441,Japan,Other leisure activities,147.953249257339
442,Korea,Other leisure activities,82.40521394919
443,Latvia,Other leisure activities,80.6722335381973
444,Lithuania,Other leisure activities,60.7308365857219
445,Luxembourg,Other leisure activities,82.3320368322953
446,Mexico,Other leisure activities,41.33212
447,Netherlands,Other leisure activities,100.634398278194
448,New Zealand,Other leisure activities,85.0
449,Norway ,Other leisure activities,153.5697
450,Poland,Other leisure activities,93.1213832904991
451,Portugal,Other leisure activities,60.4195804195804
452,Slovenia,Other leisure activities,91.872399445215
453,Spain,Other leisure activities,84.72557
454,Sweden,Other leisure activities,112.323171034108
455,Turkey,Other leisure activities,81.53299
456,UK,Other leisure activities,98.4077098323293
457,USA,Other leisure activities,73.49092
458,China,Other leisure activities,52.9632199861207
459,India,Other leisure activities,109.19343947153
460,South Africa,Other leisure activities,81.8246
