"age","sex","year","contents","10211: Population, by age, sex, year and contents"
"F00-04 0-4 years","0 Both sexes","1983","Persons",256705
"F00-04 0-4 years","0 Both sexes","1984","Persons",254951
"F00-04 0-4 years","0 Both sexes","1985","Persons",253847
"F00-04 0-4 years","0 Both sexes","1986","Persons",254184
"F00-04 0-4 years","0 Both sexes","1987","Persons",255799
"F00-04 0-4 years","0 Both sexes","1988","Persons",259176
"F00-04 0-4 years","0 Both sexes","1989","Persons",266967
"F00-04 0-4 years","0 Both sexes","1990","Persons",275453
"F00-04 0-4 years","0 Both sexes","1991","Persons",284861
"F00-04 0-4 years","0 Both sexes","1992","Persons",293145
"F00-04 0-4 years","0 Both sexes","1993","Persons",299837
"F00-04 0-4 years","0 Both sexes","1994","Persons",303105
"F00-04 0-4 years","0 Both sexes","1995","Persons",303926
"F00-04 0-4 years","0 Both sexes","1996","Persons",303292
"F00-04 0-4 years","0 Both sexes","1997","Persons",303049
"F00-04 0-4 years","0 Both sexes","1998","Persons",302797
"F00-04 0-4 years","0 Both sexes","1999","Persons",301963
"F00-04 0-4 years","0 Both sexes","2000","Persons",302387
"F00-04 0-4 years","0 Both sexes","2001","Persons",300954
"F00-04 0-4 years","0 Both sexes","2002","Persons",296361
"F00-04 0-4 years","0 Both sexes","2003","Persons",292594
"F00-04 0-4 years","0 Both sexes","2004","Persons",290889
"F00-04 0-4 years","0 Both sexes","2005","Persons",289146
"F00-04 0-4 years","0 Both sexes","2006","Persons",287383
"F00-04 0-4 years","0 Both sexes","2007","Persons",289785
"F00-04 0-4 years","0 Both sexes","2008","Persons",293803
"F00-04 0-4 years","0 Both sexes","2009","Persons",298460
"F00-04 0-4 years","0 Both sexes","2010","Persons",303928
"F00-04 0-4 years","0 Both sexes","2011","Persons",308826
"F00-04 0-4 years","0 Both sexes","2012","Persons",310767
"F00-04 0-4 years","0 Both sexes","2013","Persons",313215
"F00-04 0-4 years","0 Both sexes","2014","Persons",311912
"F00-04 0-4 years","0 Both sexes","2015","Persons",308598
"F00-04 0-4 years","0 Both sexes","2016","Persons",305395
"F00-04 0-4 years","0 Both sexes","2017","Persons",303493
"F00-04 0-4 years","0 Both sexes","2018","Persons",299579
"F00-04 0-4 years","0 Both sexes","2019","Persons",294863
"F00-04 0-4 years","0 Both sexes","2020","Persons",290063
"F00-04 0-4 years","0 Both sexes","2021","Persons",282960
"F00-04 0-4 years","0 Both sexes","2022","Persons",280040
"F00-04 0-4 years","1 Males","1846","Persons",85874
"F00-04 0-4 years","1 Males","1847","Persons",86676
"F00-04 0-4 years","1 Males","1848","Persons",86518
"F00-04 0-4 years","1 Males","1849","Persons",86360
"F00-04 0-4 years","1 Males","1850","Persons",89570
"F00-04 0-4 years","1 Males","1851","Persons",91532
"F00-04 0-4 years","1 Males","1852","Persons",93663
"F00-04 0-4 years","1 Males","1853","Persons",94610
"F00-04 0-4 years","1 Males","1854","Persons",97172
"F00-04 0-4 years","1 Males","1855","Persons",99766
"F00-04 0-4 years","1 Males","1856","Persons",102698
"F00-04 0-4 years","1 Males","1857","Persons",104584
"F00-04 0-4 years","1 Males","1858","Persons",107552
"F00-04 0-4 years","1 Males","1859","Persons",110672
"F00-04 0-4 years","1 Males","1860","Persons",113244
"F00-04 0-4 years","1 Males","1861","Persons",115320
"F00-04 0-4 years","1 Males","1862","Persons",113645
"F00-04 0-4 years","1 Males","1863","Persons",112920
"F00-04 0-4 years","1 Males","1864","Persons",114082
"F00-04 0-4 years","1 Males","1865","Persons",114326
"F00-04 0-4 years","1 Males","1866","Persons",117026
"F00-04 0-4 years","1 Males","1867","Persons",118818
"F00-04 0-4 years","1 Males","1868","Persons",117255
"F00-04 0-4 years","1 Males","1869","Persons",114982
"F00-04 0-4 years","1 Males","1870","Persons",112109
"F00-04 0-4 years","1 Males","1871","Persons",110118
"F00-04 0-4 years","1 Males","1872","Persons",109144
"F00-04 0-4 years","1 Males","1873","Persons",110020
"F00-04 0-4 years","1 Males","1874","Persons",110999
"F00-04 0-4 years","1 Males","1875","Persons",113553
"F00-04 0-4 years","1 Males","1876","Persons",116637
"F00-04 0-4 years","1 Males","1877","Persons",118787
"F00-04 0-4 years","1 Males","1878","Persons",122101
"F00-04 0-4 years","1 Males","1879","Persons",125611
"F00-04 0-4 years","1 Males","1880","Persons",129295
"F00-04 0-4 years","1 Males","1881","Persons",130466
"F00-04 0-4 years","1 Males","1882","Persons",129999
"F00-04 0-4 years","1 Males","1883","Persons",127954
"F00-04 0-4 years","1 Males","1884","Persons",127960
"F00-04 0-4 years","1 Males","1885","Persons",128623
"F00-04 0-4 years","1 Males","1886","Persons",130682
"F00-04 0-4 years","1 Males","1887","Persons",133094
"F00-04 0-4 years","1 Males","1888","Persons",135124
"F00-04 0-4 years","1 Males","1889","Persons",135201
"F00-04 0-4 years","1 Males","1890","Persons",133972
"F00-04 0-4 years","1 Males","1891","Persons",133882
"F00-04 0-4 years","1 Males","1892","Persons",134805
"F00-04 0-4 years","1 Males","1893","Persons",133886
"F00-04 0-4 years","1 Males","1894","Persons",135336
"F00-04 0-4 years","1 Males","1895","Persons",135994
"F00-04 0-4 years","1 Males","1896","Persons",137898
"F00-04 0-4 years","1 Males","1897","Persons",139214
"F00-04 0-4 years","1 Males","1898","Persons",141414
"F00-04 0-4 years","1 Males","1899","Persons",143806
"F00-04 0-4 years","1 Males","1900","Persons",145954
"F00-04 0-4 years","1 Males","1901","Persons",147570
"F00-04 0-4 years","1 Males","1902","Persons",149332
"F00-04 0-4 years","1 Males","1903","Persons",150871
"F00-04 0-4 years","1 Males","1904","Persons",150564
"F00-04 0-4 years","1 Males","1905","Persons",149990
"F00-04 0-4 years","1 Males","1906","Persons",148357
"F00-04 0-4 years","1 Males","1907","Persons",147066
"F00-04 0-4 years","1 Males","1908","Persons",145265
"F00-04 0-4 years","1 Males","1909","Persons",144399
"F00-04 0-4 years","1 Males","1910","Persons",144682
"F00-04 0-4 years","1 Males","1911","Persons",144785
"F00-04 0-4 years","1 Males","1912","Persons",144737
"F00-04 0-4 years","1 Males","1913","Persons",145488
"F00-04 0-4 years","1 Males","1914","Persons",145821
"F00-04 0-4 years","1 Males","1915","Persons",145747
"F00-04 0-4 years","1 Males","1916","Persons",144549
"F00-04 0-4 years","1 Males","1917","Persons",144519
"F00-04 0-4 years","1 Males","1918","Persons",145753
"F00-04 0-4 years","1 Males","1919","Persons",146652
"F00-04 0-4 years","1 Males","1920","Persons",145367
"F00-04 0-4 years","1 Males","1921","Persons",150891
"F00-04 0-4 years","1 Males","1922","Persons",152394
"F00-04 0-4 years","1 Males","1923","Persons",151900
"F00-04 0-4 years","1 Males","1924","Persons",151567
"F00-04 0-4 years","1 Males","1925","Persons",151270
"F00-04 0-4 years","1 Males","1926","Persons",144398
"F00-04 0-4 years","1 Males","1927","Persons",139999
"F00-04 0-4 years","1 Males","1928","Persons",134315
"F00-04 0-4 years","1 Males","1929","Persons",128807
"F00-04 0-4 years","1 Males","1930","Persons",124044
"F00-04 0-4 years","1 Males","1931","Persons",121415
"F00-04 0-4 years","1 Males","1932","Persons",117244
"F00-04 0-4 years","1 Males","1933","Persons",114938
"F00-04 0-4 years","1 Males","1934","Persons",111551
"F00-04 0-4 years","1 Males","1935","Persons",108651
"F00-04 0-4 years","1 Males","1936","Persons",105408
"F00-04 0-4 years","1 Males","1937","Persons",103831
"F00-04 0-4 years","1 Males","1938","Persons",103177
"F00-04 0-4 years","1 Males","1939","Persons",104726
"F00-04 0-4 years","1 Males","1940","Persons",106999
"F00-04 0-4 years","1 Males","1941","Persons",110553
"F00-04 0-4 years","1 Males","1942","Persons",112311
"F00-04 0-4 years","1 Males","1943","Persons",117122
"F00-04 0-4 years","1 Males","1944","Persons",123213
"F00-04 0-4 years","1 Males","1945","Persons",131388
"F00-04 0-4 years","1 Males","1946","Persons",138533
"F00-04 0-4 years","1 Males","1947","Persons",151419
"F00-04 0-4 years","1 Males","1948","Persons",158840
"F00-04 0-4 years","1 Males","1949","Persons",163667
"F00-04 0-4 years","1 Males","1950","Persons",164132
"F00-04 0-4 years","1 Males","1951","Persons",164955
"F00-04 0-4 years","1 Males","1952","Persons",159841
"F00-04 0-4 years","1 Males","1953","Persons",157352
"F00-04 0-4 years","1 Males","1954","Persons",155770
"F00-04 0-4 years","1 Males","1955","Persons",155645
"F00-04 0-4 years","1 Males","1956","Persons",156384
"F00-04 0-4 years","1 Males","1957","Persons",157806
"F00-04 0-4 years","1 Males","1958","Persons",157918
"F00-04 0-4 years","1 Males","1959","Persons",158053
"F00-04 0-4 years","1 Males","1960","Persons",158566
"F00-04 0-4 years","1 Males","1961","Persons",157678
"F00-04 0-4 years","1 Males","1962","Persons",157302
"F00-04 0-4 years","1 Males","1963","Persons",157173
"F00-04 0-4 years","1 Males","1964","Persons",157304
"F00-04 0-4 years","1 Males","1965","Persons",158892
"F00-04 0-4 years","1 Males","1966","Persons",161602
"F00-04 0-4 years","1 Males","1967","Persons",163470
"F00-04 0-4 years","1 Males","1968","Persons",165841
"F00-04 0-4 years","1 Males","1969","Persons",168545
"F00-04 0-4 years","1 Males","1970","Persons",169729
"F00-04 0-4 years","1 Males","1971","Persons",169105
"F00-04 0-4 years","1 Males","1972","Persons",168510
"F00-04 0-4 years","1 Males","1973","Persons",167683
"F00-04 0-4 years","1 Males","1974","Persons",164670
"F00-04 0-4 years","1 Males","1975","Persons",160443
"F00-04 0-4 years","1 Males","1976","Persons",156073
"F00-04 0-4 years","1 Males","1977","Persons",150179
"F00-04 0-4 years","1 Males","1978","Persons",143695
"F00-04 0-4 years","1 Males","1979","Persons",138777
"F00-04 0-4 years","1 Males","1980","Persons",134875
"F00-04 0-4 years","1 Males","1981","Persons",132546
"F00-04 0-4 years","1 Males","1982","Persons",131200
"F00-04 0-4 years","1 Males","1983","Persons",131574
"F00-04 0-4 years","1 Males","1984","Persons",130809
"F00-04 0-4 years","1 Males","1985","Persons",130236
"F00-04 0-4 years","1 Males","1986","Persons",130333
"F00-04 0-4 years","1 Males","1987","Persons",131463
"F00-04 0-4 years","1 Males","1988","Persons",132813
"F00-04 0-4 years","1 Males","1989","Persons",136650
"F00-04 0-4 years","1 Males","1990","Persons",141173
"F00-04 0-4 years","1 Males","1991","Persons",146030
"F00-04 0-4 years","1 Males","1992","Persons",150210
"F00-04 0-4 years","1 Males","1993","Persons",154164
"F00-04 0-4 years","1 Males","1994","Persons",155753
"F00-04 0-4 years","1 Males","1995","Persons",156267
"F00-04 0-4 years","1 Males","1996","Persons",155912
"F00-04 0-4 years","1 Males","1997","Persons",155868
"F00-04 0-4 years","1 Males","1998","Persons",155524
"F00-04 0-4 years","1 Males","1999","Persons",155096
"F00-04 0-4 years","1 Males","2000","Persons",155258
"F00-04 0-4 years","1 Males","2001","Persons",154424
"F00-04 0-4 years","1 Males","2002","Persons",151908
"F00-04 0-4 years","1 Males","2003","Persons",149678
"F00-04 0-4 years","1 Males","2004","Persons",148781
"F00-04 0-4 years","1 Males","2005","Persons",147752
"F00-04 0-4 years","1 Males","2006","Persons",146674
"F00-04 0-4 years","1 Males","2007","Persons",147973
"F00-04 0-4 years","1 Males","2008","Persons",150230
"F00-04 0-4 years","1 Males","2009","Persons",152844
"F00-04 0-4 years","1 Males","2010","Persons",155882
"F00-04 0-4 years","1 Males","2011","Persons",158452
"F00-04 0-4 years","1 Males","2012","Persons",159663
"F00-04 0-4 years","1 Males","2013","Persons",160859
"F00-04 0-4 years","1 Males","2014","Persons",160017
"F00-04 0-4 years","1 Males","2015","Persons",158290
"F00-04 0-4 years","1 Males","2016","Persons",156720
"F00-04 0-4 years","1 Males","2017","Persons",155857
"F00-04 0-4 years","1 Males","2018","Persons",153917
"F00-04 0-4 years","1 Males","2019","Persons",151852
"F00-04 0-4 years","1 Males","2020","Persons",149413
"F00-04 0-4 years","1 Males","2021","Persons",145601
"F00-04 0-4 years","1 Males","2022","Persons",143787
"F00-04 0-4 years","2 Females","1846","Persons",84442
"F00-04 0-4 years","2 Females","1847","Persons",84457
"F00-04 0-4 years","2 Females","1848","Persons",83497
"F00-04 0-4 years","2 Females","1849","Persons",84032
"F00-04 0-4 years","2 Females","1850","Persons",87156
"F00-04 0-4 years","2 Females","1851","Persons",89125
"F00-04 0-4 years","2 Females","1852","Persons",91268
"F00-04 0-4 years","2 Females","1853","Persons",92367
"F00-04 0-4 years","2 Females","1854","Persons",94273
"F00-04 0-4 years","2 Females","1855","Persons",96807
"F00-04 0-4 years","2 Females","1856","Persons",98837
"F00-04 0-4 years","2 Females","1857","Persons",100581
"F00-04 0-4 years","2 Females","1858","Persons",103369
"F00-04 0-4 years","2 Females","1859","Persons",106782
"F00-04 0-4 years","2 Females","1860","Persons",109138
"F00-04 0-4 years","2 Females","1861","Persons",110813
"F00-04 0-4 years","2 Females","1862","Persons",109540
"F00-04 0-4 years","2 Females","1863","Persons",108789
"F00-04 0-4 years","2 Females","1864","Persons",109676
"F00-04 0-4 years","2 Females","1865","Persons",110229
"F00-04 0-4 years","2 Females","1866","Persons",113435
"F00-04 0-4 years","2 Females","1867","Persons",115039
"F00-04 0-4 years","2 Females","1868","Persons",113562
"F00-04 0-4 years","2 Females","1869","Persons",111135
"F00-04 0-4 years","2 Females","1870","Persons",108708
"F00-04 0-4 years","2 Females","1871","Persons",106766
"F00-04 0-4 years","2 Females","1872","Persons",105885
"F00-04 0-4 years","2 Females","1873","Persons",106806
"F00-04 0-4 years","2 Females","1874","Persons",108050
"F00-04 0-4 years","2 Females","1875","Persons",110292
"F00-04 0-4 years","2 Females","1876","Persons",112969
"F00-04 0-4 years","2 Females","1877","Persons",115716
"F00-04 0-4 years","2 Females","1878","Persons",118440
"F00-04 0-4 years","2 Females","1879","Persons",121460
"F00-04 0-4 years","2 Females","1880","Persons",125086
"F00-04 0-4 years","2 Females","1881","Persons",126283
"F00-04 0-4 years","2 Females","1882","Persons",125086
"F00-04 0-4 years","2 Females","1883","Persons",123196
"F00-04 0-4 years","2 Females","1884","Persons",122880
"F00-04 0-4 years","2 Females","1885","Persons",123384
"F00-04 0-4 years","2 Females","1886","Persons",125502
"F00-04 0-4 years","2 Females","1887","Persons",127585
"F00-04 0-4 years","2 Females","1888","Persons",129622
"F00-04 0-4 years","2 Females","1889","Persons",129611
"F00-04 0-4 years","2 Females","1890","Persons",128165
"F00-04 0-4 years","2 Females","1891","Persons",128152
"F00-04 0-4 years","2 Females","1892","Persons",129277
"F00-04 0-4 years","2 Females","1893","Persons",128144
"F00-04 0-4 years","2 Females","1894","Persons",129445
"F00-04 0-4 years","2 Females","1895","Persons",130245
"F00-04 0-4 years","2 Females","1896","Persons",131792
"F00-04 0-4 years","2 Females","1897","Persons",133165
"F00-04 0-4 years","2 Females","1898","Persons",136176
"F00-04 0-4 years","2 Females","1899","Persons",138806
"F00-04 0-4 years","2 Females","1900","Persons",140946
"F00-04 0-4 years","2 Females","1901","Persons",142873
"F00-04 0-4 years","2 Females","1902","Persons",144597
"F00-04 0-4 years","2 Females","1903","Persons",145604
"F00-04 0-4 years","2 Females","1904","Persons",145206
"F00-04 0-4 years","2 Females","1905","Persons",144720
"F00-04 0-4 years","2 Females","1906","Persons",143115
"F00-04 0-4 years","2 Females","1907","Persons",141534
"F00-04 0-4 years","2 Females","1908","Persons",140072
"F00-04 0-4 years","2 Females","1909","Persons",138794
"F00-04 0-4 years","2 Females","1910","Persons",138886
"F00-04 0-4 years","2 Females","1911","Persons",138983
"F00-04 0-4 years","2 Females","1912","Persons",138926
"F00-04 0-4 years","2 Females","1913","Persons",139393
"F00-04 0-4 years","2 Females","1914","Persons",140059
"F00-04 0-4 years","2 Females","1915","Persons",139576
"F00-04 0-4 years","2 Females","1916","Persons",138603
"F00-04 0-4 years","2 Females","1917","Persons",138650
"F00-04 0-4 years","2 Females","1918","Persons",139999
"F00-04 0-4 years","2 Females","1919","Persons",140853
"F00-04 0-4 years","2 Females","1920","Persons",139452
"F00-04 0-4 years","2 Females","1921","Persons",144288
"F00-04 0-4 years","2 Females","1922","Persons",146024
"F00-04 0-4 years","2 Females","1923","Persons",145906
"F00-04 0-4 years","2 Females","1924","Persons",145284
"F00-04 0-4 years","2 Females","1925","Persons",145178
"F00-04 0-4 years","2 Females","1926","Persons",138603
"F00-04 0-4 years","2 Females","1927","Persons",134098
"F00-04 0-4 years","2 Females","1928","Persons",128490
"F00-04 0-4 years","2 Females","1929","Persons",123538
"F00-04 0-4 years","2 Females","1930","Persons",119190
"F00-04 0-4 years","2 Females","1931","Persons",116445
"F00-04 0-4 years","2 Females","1932","Persons",112577
"F00-04 0-4 years","2 Females","1933","Persons",110140
"F00-04 0-4 years","2 Females","1934","Persons",106215
"F00-04 0-4 years","2 Females","1935","Persons",103431
"F00-04 0-4 years","2 Females","1936","Persons",100649
"F00-04 0-4 years","2 Females","1937","Persons",98880
"F00-04 0-4 years","2 Females","1938","Persons",98230
"F00-04 0-4 years","2 Females","1939","Persons",100080
"F00-04 0-4 years","2 Females","1940","Persons",102641
"F00-04 0-4 years","2 Females","1941","Persons",105601
"F00-04 0-4 years","2 Females","1942","Persons",107368
"F00-04 0-4 years","2 Females","1943","Persons",111744
"F00-04 0-4 years","2 Females","1944","Persons",117210
"F00-04 0-4 years","2 Females","1945","Persons",124132
"F00-04 0-4 years","2 Females","1946","Persons",130915
"F00-04 0-4 years","2 Females","1947","Persons",143297
"F00-04 0-4 years","2 Females","1948","Persons",150447
"F00-04 0-4 years","2 Females","1949","Persons",154352
"F00-04 0-4 years","2 Females","1950","Persons",154999
"F00-04 0-4 years","2 Females","1951","Persons",155454
"F00-04 0-4 years","2 Females","1952","Persons",150313
"F00-04 0-4 years","2 Females","1953","Persons",147878
"F00-04 0-4 years","2 Females","1954","Persons",147162
"F00-04 0-4 years","2 Females","1955","Persons",147493
"F00-04 0-4 years","2 Females","1956","Persons",148183
"F00-04 0-4 years","2 Females","1957","Persons",150391
"F00-04 0-4 years","2 Females","1958","Persons",151004
"F00-04 0-4 years","2 Females","1959","Persons",150905
"F00-04 0-4 years","2 Females","1960","Persons",150882
"F00-04 0-4 years","2 Females","1961","Persons",150289
"F00-04 0-4 years","2 Females","1962","Persons",149358
"F00-04 0-4 years","2 Females","1963","Persons",149208
"F00-04 0-4 years","2 Females","1964","Persons",149445
"F00-04 0-4 years","2 Females","1965","Persons",150634
"F00-04 0-4 years","2 Females","1966","Persons",152518
"F00-04 0-4 years","2 Females","1967","Persons",154329
"F00-04 0-4 years","2 Females","1968","Persons",156580
"F00-04 0-4 years","2 Females","1969","Persons",158624
"F00-04 0-4 years","2 Females","1970","Persons",160332
"F00-04 0-4 years","2 Females","1971","Persons",160044
"F00-04 0-4 years","2 Females","1972","Persons",160098
"F00-04 0-4 years","2 Females","1973","Persons",159277
"F00-04 0-4 years","2 Females","1974","Persons",156506
"F00-04 0-4 years","2 Females","1975","Persons",153115
"F00-04 0-4 years","2 Females","1976","Persons",149401
"F00-04 0-4 years","2 Females","1977","Persons",143705
"F00-04 0-4 years","2 Females","1978","Persons",137488
"F00-04 0-4 years","2 Females","1979","Persons",133042
"F00-04 0-4 years","2 Females","1980","Persons",128637
"F00-04 0-4 years","2 Females","1981","Persons",125969
"F00-04 0-4 years","2 Females","1982","Persons",124959
"F00-04 0-4 years","2 Females","1983","Persons",125131
"F00-04 0-4 years","2 Females","1984","Persons",124142
"F00-04 0-4 years","2 Females","1985","Persons",123611
"F00-04 0-4 years","2 Females","1986","Persons",123851
"F00-04 0-4 years","2 Females","1987","Persons",124336
